Anaa Airport,AAA
Elenak Airport,EAL
Nejran Airport,EAM
Phifer Airfield,EAN
Kearney Regional Airport,EAR
San Sebastian Airport,EAS
Pangborn Memorial Airport,EAT
Chippewa Valley Regional Airport,EAU
Marina Di Campo Airport,EBA
Entebbe International Airport,EBB
El Obeid Airport,EBD
El Bagre Airport,EBG
El Bayadh Airport,EBH
Esbjerg Airport,EBJ
Erbil International Airport,EBL
El Borma Airport,EBM
Ebadon Airport,EBN
Ebon Airport,EBO
Webster City Municipal Airport,EBS
Saint-Ãtienne-BouthÃ©on Airport,EBU
Ebolowa Airport,EBW
Iosco County Airport,ECA
Elizabeth City Regional Airport & Coast Guard Air Station,ECG
Echuca Airport,ECH
Costa Esmeralda Airport,ECI
Ercan International Airport,ECN
El Encanto Airport,ECO
Northwest Florida Beaches International Airport,ECP
El Charco Airport,ECR
Mondell Field,ECS
Cuatro Vientos Airport,ECV
Edna Bay Seaplane Base,EDA
El Debba Airport,EDB
Erldunda Airport,EDD
Northeastern Regional Airport,EDE
Elmendorf Air Force Base,EDF
Edinburgh Airport,EDI
Captain Jack Thomas El Dorado Airport,EDK
Eldoret International Airport,EDL
La Roche-sur-Yon Airport,EDM
Yedinka Airport,EDN
BalÄ±kesir KÃ¶rfez Airport,EDO
Erandique Airport,EDQ
Pormpuraaw Airport,EDR
Edwards Air Force Base,EDW
Needles Airport,EED
Eek Airport,EEK
Dillant Hopkins Airport,EEN
Ellington Airport,EFD
Efogi Airport,EFG
Northeast Kingdom International Airport,EFK
Kefallinia Airport,EFL
Jefferson Municipal Airport,EFW
Engati Airstrip,EGA
Bergerac-RoumaniÃ¨re Airport,EGC
Eagle County Regional Airport,EGE
El Gora Airport,EGH
Duke Field,EGI
Negele Airport,EGL
Sege Airport,EGM
Geneina Airport,EGN
Belgorod International Airport,EGO
Maverick County Memorial International Airport,EGP
EgilsstaÃ°ir Airport,EGS
Eagle River Union Airport,EGV
Egegik Airport,EGX
El Bolson Airport,EHL
Cape Newenham LRRS Airport,EHM
Rentschler Heliport,EHT
Eisenach-Kindel Airport,EIB
Yeniseysk Airport,EIE
Einasleigh Airport,EIH
Yeysk Airport,EIK
Eielson Air Force Base,EIL
Eindhoven Airport,EIN
Terrance B. Lettsome International Airport,EIS
Ein Yahav Airfield,EIY
YariguÃ­es Airport,EJA
Al Wajh Domestic Airport,EJH
Ejin Banner-Taolai Airport,EJN
Enejit Airport,EJT
Murray Field,EKA
Ekibastuz Airport,EKB
Elkedra Airport,EKD
Elkhart Municipal Airport,EKI
Elkins-Randolph Co-Jennings Randolph Field,EKN
Elko Regional Airport,EKO
Shakhtyorsk Airport,EKS
Eskilstuna Airport,EKT
Addington Field,EKX
Eagle Lake Airport,ELA
Las Flores Airport,ELB
Elcho Island Airport,ELC
South Arkansas Regional At Goodwin Field,ELD
EL Real Airport,ELE
El Fasher Airport,ELF
El Golea Airport,ELG
North Eleuthera Airport,ELH
Elim Airport,ELI
El Recreo Airport,ELJ
Elk City Regional Business Airport,ELK
Ellisras Matimba Airport,ELL
Elmira Corning Regional Airport,ELM
Bowers Field,ELN
El Dorado Airport,ELO
El Paso International Airport,ELP
Gassim Airport,ELQ
Elelim Airport,ELR
Ben Schoeman Airport,ELS
El Tor Airport,ELT
Guemar Airport,ELU
Elfin Cove Seaplane Base,ELV
Ellamar Seaplane Base,ELW
Isla de Tigre  Heliport,ELX
Ely Airport Yelland Field,ELY
"Wellsville Municipal Arpt,Tarantine Field",ELZ
East Midlands Airport,EMA
Emerald Airport,EMD
Emden Airport,EME
Empangeni Airport,EMG
Emirau Airport,EMI
Emmonak Airport,EMK
Emmen Air Base,EML
Kemmerer Municipal Airport,EMM
NÃ©ma Airport,EMN
Emo River Airstrip,EMO
Emporia Municipal Airport,EMP
El Mirador Heliport,EMR
Embessa Airport,EMS
San Gabriel Valley Airport,EMT
El Maiten Airport,EMX
El Minya Airport,EMY
Kenai Municipal Airport,ENA
Eneabba Airport,ENB
Nancy-Essey Airport,ENC
Vance Air Force Base,END
Ende (H Hasan Aroeboesman) Airport,ENE
Enontekio Airport,ENF
Enshi Airport,ENH
El Nido Airport,ENI
El Naranjo Airport,ENJ
St Angelo Airport,ENK
Centralia Municipal Airport,ENL
Nenana Municipal Airport,ENN
EncarnaciÃ³n Airport,ENO
Twente Airport,ENS
Eniwetok Airport,ENT
Akanu Ibiam International Airport,ENU
Wendover Airport,ENV
Kenosha Regional Airport,ENW
Yan'an Ershilipu Airport,ENY
Enrique Olaya Herrera Airport,EOH
Eday Airport,EOI
Keokuk Municipal Airport,EOK
El Dorado Airport,EOR
Elorza Airport,EOZ
El Palomar Airport,EPA
Browns Airport,EPG
Ephrata Municipal Airport,EPH
Ãpinal-Mirecourt Airport,EPL
Esperance Airport,EPR
Samana El Portillo Airport,EPS
Eliptamin Airport,EPT
PÃ¤rnu Airport,EPU
Brigadier Antonio Parodi Airport,EQS
Erigavo Airport,ERA
Ernabella Airport,ERB
Erzincan Airport,ERC
Berdyansk Airport,ERD
Erave Airport,ERE
Erfurt Airport,ERF
Yerbogachen Airport,ERG
Moulay Ali Cherif Airport,ERH
Erie International Tom Ridge Field,ERI
Erenhot Saiwusu International Airport,ERL
Erechim Airport,ERM
EirunepÃ© Airport,ERN
Elrose Airport,ERQ
Errol Airport,ERR
Eros Airport,ERS
Erdenet Airport,ERT
Erume Airport,ERU
Kerrville Municipal Louis Schreiner Field,ERV
Erzurum International Airport,ERZ
Esa'ala Airport,ESA
EsenboÄa International Airport,ESB
Delta County Airport,ESC
Orcas Island Airport,ESD
Ensenada International Airport / El Cipres Air Base,ESE
Esler Regional Airport,ESF
Dr. Luis Maria ArgaÃ±a International Airport,ESG
Shoreham Airport,ESH
Espinosa Airport,ESI
EskiÅehir Air Base,ESK
Elista Airport,ESL
General Rivadeneira Airport,ESM
Easton Newnam Field,ESN
Ohkay Owingeh Airport,ESO
Birchwood-Pocono Airport,ESP
Stroudsburg Pocono Airport,ESP
Ricardo GarcÃ­a Posada Airport,ESR
Essen Mulheim Airport,ESS
Estherville Municipal Airport,EST
Mogador Airport,ESU
Easton State Airport,ESW
West Bend Municipal Airport,ETB
Etadunna Airport,ETD
Metema Airport,ETE
Eilat Airport,ETH
Svetlaya Airport,ETL
Ramon Airport,ETM
Eastland Municipal Airport,ETN
Santa Rosa International Airport,ETR
Enterprise Municipal Airport,ETS
Metz-Nancy-Lorraine Airport,ETZ
Kaufana Airport,EUA
Eucla Airport,EUC
Eureka Airport,EUE
Weedon Field,EUF
Mahlon Sweet Field,EUG
NeumÃ¼nster Airport,EUM
Hassan I Airport,EUN
Paratebueno Airport,EUO
Evelio Javier Airport,EUQ
F. D. Roosevelt Airport,EUX
Ben Bruce Memorial Airpark,EVA
Eva Downs Airport,EVD
"Harstad/Narvik Airport, Evenes",EVE
Sveg Airport,EVG
Evans Head Aerodrome,EVH
Eveleth Virginia Municipal Airport,EVM
Zvartnots International Airport,EVN
Evansville Regional Airport,EVV
Evanston-Uinta County Airport-Burns Field,EVW
Ãvreux-Fauville (BA 105) Air Base,EVX
New Bedford Regional Airport,EWB
Ewer Airport,EWE
Enarotali Airport,EWI
Newton City-County Airport,EWK
Coastal Carolina Regional Airport,EWN
Ewo Airport,EWO
Newark Liberty International Airport,EWR
RAF Greenham Common,EWY
Excursion Inlet Seaplane Base,EXI
Exmouth Airport,EXM
Exeter International Airport,EXT
Beloyarskiy Airport,EYK
YÃ©limanÃ© Airport,EYL
El Yopal Airport,EYP
Yerington Municipal Airport,EYR
Eliye Springs Airport,EYS
Key West International Airport,EYW
Ministro Pistarini International Airport,EZE
ElazÄ±Ä Airport,EZS
Berezovo Airport,EZV
Faranah Airport,FAA
Farnborough Airport,FAB
Faaite Airport,FAC
Vagar Airport,FAE
Felker Army Air Field,FAF
FagurhÃ³lsmÃ½ri Airport,FAG
Farah Airport,FAH
Fairbanks International Airport,FAI
Diego Jimenez Torres Airport,FAJ
False Island Seaplane Base,FAK
Falcon State Airport,FAL
Farmington Regional Airport,FAM
Lista Airport,FAN
Faro Airport,FAO
Frieda River Airport,FAQ
Hector International Airport,FAR
FÃ¡skrÃºÃ°sfjÃ¶rÃ°ur Airport,FAS
Fresno Yosemite International Airport,FAT
Fahud Airport,FAU
Fakarava Airport,FAV
Fayetteville Regional Grannis Field,FAY
Fasa Airport,FAZ
Fonte Boa Airport,FBA
Fayzabad Airport,FBD
Francisco BeltrÃ£o Airport,FBE
Simmons Army Air Field,FBG
Ladd AAF Airfield,FBK
Faribault Municipal Airport-Liz Wall Strohfus Field,FBL
Lubumbashi International Airport,FBM
Fort Bridger Airport,FBR
Friday Harbor Seaplane Base,FBS
"Oslo, Fornebu Airport",FBU
Fairbury Municipal Airport,FBY
Glacier Park International Airport,FCA
Ficksburg Sentraoes Airport,FCB
Fresno Chandler Executive Airport,FCH
Flying Cloud Airport,FCM
Nordholz Naval Airbase,FCN
Leonardo da VinciâFiumicino Airport,FCO
Butts AAF (Fort Carson) Air Field,FCS
Forrest City Municipal Airport,FCY
FundaciÃ³n Airport,FDA
FÃ¸rde Airport,FDE
Martinique AimÃ© CÃ©saire International Airport,FDF
Friedrichshafen Airport,FDH
Frederick Municipal Airport,FDK
San Fernando Airport,FDO
Frederick Regional Airport,FDR
Bandundu Airport,FDU
Findlay Airport,FDY
Fetlar Airport,FEA
Sanfebagar Airport,FEB
JoÃ£o Durval Carneiro Airport,FEC
Fergana International Airport,FEG
FeijÃ³ Airport,FEJ
Ferkessedougou Airport,FEK
FÃ¼rstenfeldbruck Air Base,FEL
Fernando de Noronha Airport,FEN
Albertus Airport,FEP
Fremont Municipal Airport,FET
SaÃ¯ss Airport,FEZ
First Flight Airport,FFA
RAF Fairford,FFD
Fairfield Municipal Airport,FFL
Fergus Falls Municipal Airport - Einar Mickelson Field,FFM
Wright-Patterson Air Force Base,FFO
Capital City Airport,FFT
FutaleufÃº Airport,FFU
Fderik Airport,FGD
Fagali'i Airport,FGI
Fangatau Airport,FGU
Sierra Vista Municipal Airport / Libby Army Air Field,FHU
Fakahina Airport,FHZ
Elizabeth Field,FID
Fair Isle Airport,FIE
Fria Airport,FIG
Ndjili International Airport,FIH
Finke Airport,FIK
Fillmore Municipal Airport,FIL
Finschhafen Airport,FIN
Fitzroy Crossing Airport,FIZ
Fujairah International Airport,FJR
Karlsruhe Baden-Baden Airport,FKB
Bangoka International Airport,FKI
Fukui Airport,FKJ
Venango Regional Airport,FKL
Franklin Regional Airport,FKN
Fakfak Airport,FKQ
Fukushima Airport,FKS
Gustavo Artunduaga Paredes Airport,FLA
Cangapara Airport,FLB
Fond du Lac County Airport,FLD
Fort Lee Army Airfield,FLE
Flensburg-SchÃ¤ferhaus Airport,FLF
Flagstaff Pulliam Airport,FLG
Flotta Isle Airport,FLH
Holt Airport,FLI
Fort Lauderdale Hollywood International Airport,FLL
Filadelfia Airport,FLM
HercÃ­lio Luz International Airport,FLN
Florence Regional Airport,FLO
Marion County Regional Airport,FLP
Peretola Airport,FLR
Flinders Island Airport,FLS
Flat Airport,FLT
Flushing Airport,FLU
Sherman Army Air Field,FLV
Flores Airport,FLW
Fallon Municipal Airport,FLX
Finley Airport,FLY
Dr Ferdinand Lumban Tobing Airport,FLZ
Formosa Airport,FMA
Five Mile Airport,FMC
Tipton Airport,FME
Flamingo Airport,FMG
Cape Cod Coast Guard Air Station,FMH
Kalemie Airport,FMI
Memmingen Allgau Airport,FMM
Four Corners Regional Airport,FMN
MÃ¼nster OsnabrÃ¼ck Airport,FMO
Fort Madison Municipal Airport,FMS
Florence Municipal Airport,FMU
Page Field,FMY
Lungi International Airport,FNA
Neubrandenburg Airport,FNB
Madeira Airport,FNC
Fane Airport,FNE
Fada N'gourma Airport,FNG
Fincha Airport,FNH
NÃ®mes-Arles-Camargue Airport,FNI
Pyongyang Sunan International Airport,FNJ
Northern Colorado Regional Airport,FNL
Funter Bay Seaplane Base,FNR
Bishop International Airport,FNT
Oristano-Fenosu Airport,FNU
Foula Airfield,FOA
Fort Bragg Airport,FOB
Fuzhou Changle International Airport,FOC
Fort Dodge Regional Airport,FOD
Topeka Regional Airport - Forbes Field,FOE
"Foggia ""Gino Lisa"" Airport",FOG
Francis S Gabreski Airport,FOK
Foumban Nkounja Airport,FOM
Arenal Airport,FON
Kornasoren Airfield,FOO
Pinto Martins International Airport,FOR
Forrest Airport,FOS
Forster (Wallis Is) Airport,FOT
Fougamou Airport,FOU
Foya Airport,FOY
Grand Bahama International Airport,FPO
St Lucie County International Airport,FPR
Perry-Foley Airport,FPY
Frankfurt am Main Airport,FRA
Forbes Airport,FRB
Tenente Lund Pressoto Airport,FRC
Friday Harbor Airport,FRD
Fera/Maringe Airport,FRE
Republic Airport,FRG
French Lick Municipal Airport,FRH
Marshall Army Air Field,FRI
FrÃ©jus Airport,FRJ
FrÃ©gate Island Airport,FRK
ForlÃ¬ Airport,FRL
Fairmont Municipal Airport,FRM
Bryant Army Heliport,FRN
FlorÃ¸ Airport,FRO
Feramin Airport,FRQ
Front Royal Warren County Airport,FRR
Mundo Maya International Airport,FRS
El Avellano Airport,FRT
Manas International Airport,FRU
Francistown Airport,FRW
Eastern Slopes Regional Airport,FRY
Fritzlar Army Airfield,FRZ
Figari Sud-Corse Airport,FSC
Joe Foss Field Airport,FSD
Henry Post Army Air Field (Fort Sill),FSI
Fort Scott Municipal Airport,FSK
Fossil Downs Airport,FSL
Fort Smith Regional Airport,FSM
Haley Army Airfield,FSN
St Pierre Airport,FSP
RAF Kinloss,FSS
Fort Stockton Pecos County Airport,FST
Fort Sumner Municipal Airport,FSU
Mt. Fuji Shizuoka Airport,FSZ
Futuna Airport,FTA
El Calafate Airport,FTE
Fitiuta Airport,FTI
Godman Army Air Field,FTK
TÃ´lanaro Airport,FTU
Fort Worth Meacham International Airport,FTW
Owando Airport,FTX
Fulton County Airport Brown Field,FTY
Fulleborn Airport,FUB
Fuerteventura Airport,FUE
Fuyang Xiguan Airport,FUG
Fukue Airport,FUJ
Fukuoka Airport,FUK
Fullerton Municipal Airport,FUL
Fuma Airport,FUM
Funafuti International Airport,FUN
Foshan Shadi Airport,FUO
Pointe Vele Airport,FUT
Flora Valley Airport,FVL
Fuvahmulah Airport,FVM
Oombulgurri Airport,FVR
Fort Wayne International Airport,FWA
NAS Fort Worth JRB/Carswell Field,FWH
Farewell Airport,FWL
Fort Lauderdale Executive Airport,FXE
Cuamba Airport,FXO
Forest City Municipal Airport,FXY
Dongji Aiport,FYJ
Fayetteville Municipal Airport,FYM
Fuyun Koktokay Airport,FYN
Faya Largeau Airport,FYT
Fort Yukon Airport,FYU
Drake Field,FYV
Bristol Filton Airport,FZO
Gabbs Airport,GAB
Celaque Airport,GAC
Northeast Alabama Regional Airport,GAD
GabÃ¨s Matmata International Airport,GAE
Gafsa Ksar International Airport,GAF
Gage Airport,GAG
Gayndah Airport,GAH
Montgomery County Airpark,GAI
Yamagata Airport,GAJ
Edward G. Pitka Sr Airport,GAL
Gambell Airport,GAM
Gan International Airport,GAN
Mariana Grajales Airport,GAO
Gusap Airport,GAP
Gao Airport,GAQ
Garaina Airport,GAR
Garissa Airport,GAS
Gap - Tallard Airfield,GAT
Lokpriya Gopinath Bordoloi International Airport,GAU
Gag Island Airport,GAV
Gangaw Airport,GAW
Gamba Airport,GAX
Gaya Airport,GAY
Guasopa Airport,GAZ
Cotswold Airport,GBA
Gabala International Airport,GBB
Gasuke Airport,GBC
Great Bend Municipal Airport,GBD
Sir Seretse Khama International Airport,GBE
Negarbo(Negabo) Airport,GBF
Galesburg Municipal Airport,GBG
Galbraith Lake Airport,GBH
Auxiliary Airfield,GBI
Les Bases Airport,GBJ
Gbangbatok Airport,GBK
South Goulburn Is Airport,GBL
Garbaharey Airport,GBM
Gamboola Airport,GBP
Walter J. Koladza Airport,GBR
Gorgan Airport,GBT
Khashm El Girba Airport,GBU
Gibb River Airport,GBV
Ginbata Airport,GBW
Great Barrier Aerodrome,GBZ
Guacamayas Airport,GCA
Gillette Campbell County Airport,GCC
Grand Coulee Dam Airport,GCD
Gachsaran Airport,GCH
Guernsey Airport,GCI
Grand Central Airport,GCJ
Garden City Regional Airport,GCK
Owen Roberts International Airport,GCM
Grand Canyon National Park Airport,GCN
Grand Canyon Bar Ten Airstrip,GCT
Gravatai Airport,GCV
Grand Canyon West Airport,GCW
Greeneville Municipal Airport,GCY
Gounda Airport,GDA
Donaldson Field Airport,GDC
Gordon Downs Airport,GDD
Gode Airport,GDE
Magdagachi Airport,GDG
Golden Horn Lodge Seaplane Base,GDH
Gordil Airport,GDI
Gandajika Airport,GDJ
Don Miguel Hidalgo Y Costilla International Airport,GDL
Gardner Municipal Airport,GDM
GdaÅsk Lech WaÅÄsa Airport,GDN
Guasdalito Airport,GDO
Guadalupe Airport,GDP
Gonder Airport,GDQ
JAGS McCartney International Airport,GDT
Dawson Community Airport,GDV
Gladwin Zettel Memorial Airport,GDW
Sokol Airport,GDX
Gelendzhik Airport,GDZ
NoumÃ©a Magenta Airport,GEA
Gebe Airport,GEB
Lefkoniko Airport,GEC
Sussex County Airport,GED
Georgetown (Tas) Airport,GEE
Geva Airport,GEF
Spokane International Airport,GEG
Santo Ãngelo Airport,GEL
President Obiang Nguema International Airport,GEM
Cheddi Jagan International Airport,GEO
Rafael Cabrera Airport,GER
General Santos International Airport,GES
Geraldton Airport,GET
GÃ¤llivare Airport,GEV
Gewoia Airport,GEW
Geelong Airport,GEX
South Big Horn County Airport,GEY
Malmstrom Air Force Base,GFA
Pope Field,GFD
Grenfell Airport,GFE
Griffith Airport,GFF
Grand Forks International Airport,GFK
Floyd Bennett Memorial Airport,GFL
Grafton Airport,GFN
Bartica A Airport,GFO
Granville Airport,GFR
Grootfontein Airport,GFY
Lumbala Airport,GGC
Lumbala Airport,GGC
Gregory Downs Airport,GGD
Georgetown County Airport,GGE
East Texas Regional Airport,GGG
Gilgal Airport,GGL
Kakamega Airport,GGM
Gagnoa Airport,GGN
Guiglo Airport,GGO
Garowe Airport,GGR
Gobernador Gregores Airport,GGS
Exuma International Airport,GGT
Wokal Field/Glasgow-Valley County Airport,GGW
NoumÃ©rat - Moufdi Zakaria Airport,GHA
Governor's Harbour Airport,GHB
Great Harbour Cay Airport,GHC
GarachinÃ© Airport,GHE
Giebelstadt Airport,GHF
Gahcho Kue,GHK
Centerville Municipal Airport,GHM
Guanghan Airport,GHN
Ghat Airport,GHT
Gualeguaychu Airport,GHU
Gibraltar Airport,GIB
Boigu Airport,GIC
Gitega Airport,GID
Winter Haven Regional Airport - Gilbert Field,GIF
Rio GaleÃ£o â Tom Jobim International Airport,GIG
Siguiri Airport,GII
Gilgit Airport,GIL
Santiago Vila Airport,GIR
Gisborne Airport,GIS
Mchauru Airport,GIT
Sigiriya Air Force Base,GIU
Giyani Airport,GIY
Jizan Regional Airport,GIZ
La Laguna Airport,GJA
Jijel Ferhat Abbas Airport,GJL
GuajarÃ¡-Mirim Airport,GJM
GjÃ¶gur Airport,GJR
Grand Junction Regional Airport,GJT
Goroka Airport,GKA
GÃ¶kÃ§eada Airport,GKD
Geilenkirchen Air Base,GKE
Palungtar Airport,GKH
Kooddoo Airport,GKK
Great Keppel Is Airport,GKL
Gulkana Airport,GKN
Gatlinburg-Pigeon Forge Airport,GKT
Glasgow International Airport,GLA
San Carlos Apache Airport,GLB
Geladi Airport,GLC
Renner Field-Goodland Municipal Airport,GLD
Gainesville Municipal Airport,GLE
Golfito Airport,GLF
Glengyle Airport,GLG
Mid Delta Regional Airport,GLH
Glen Innes Airport,GLI
Galcaio Airport,GLK
Gol Airport,GLL
Glenormiston Airport,GLM
Goulimime Airport,GLN
Gloucestershire Airport,GLO
Gulgubip Airport,GLP
Gaylord Regional Airport,GLR
Scholes International At Galveston Airport,GLS
Gladstone Airport,GLT
Gelephu Airport,GLU
Golovin Airport,GLV
Glasgow Municipal Airport,GLW
Gamarmalamo Airport,GLX
Gilze Rijen Air Base,GLZ
Gemena Airport,GMA
Gambella Airport,GMB
Ben Slimane Airport,GMD
Gomel Airport,GME
Gasmata Island Airport,GMI
Gostomel Airport,GML
Gamboma Airport,GMM
Greymouth Airport,GMN
Gombe Lawanti International Airport,GMO
Gimpo International Airport,GMP
Golog Maqin Airport,GMQ
Totegegie Airport,GMR
AntÃ´nio Guerreiro Airport,GMS
Granite Mountain Air Station,GMT
Greenville Downtown Airport,GMU
Monument Valley Airport,GMV
La Gomera Airport,GMZ
Hrodna Airport,GNA
Grenoble-IsÃ¨re Airport,GNB
Point Salines International Airport,GND
Sint-Denijs-Westrem Airport,GNE
Gansner Field,GNF
Gooding Municipal Airport,GNG
Lyudao Airport,GNI
Guanambi Airport,GNM
Ghinnir Airport,GNN
Dr. Arturo H. Illia Airport,GNR
Binaka Airport,GNS
Grants-Milan Municipal Airport,GNT
Goodnews Airport,GNU
Gainesville Regional Airport,GNV
ÅanlÄ±urfa GAP Airport,GNY
Ghanzi Airport,GNZ
Genoa Cristoforo Colombo Airport,GOA
Robe Airport,GOB
Gora Airstrip,GOC
Gonaili Airport,GOE
Gobabis Airport,GOG
Godthaab / Nuuk Airport,GOH
Dabolim Airport,GOI
Nizhny Novgorod Strigino International Airport,GOJ
Guthrie-Edmond Regional Airport,GOK
Gold Beach Municipal Airport,GOL
Goma International Airport,GOM
Groton New London Airport,GON
Goondiwindi Airport,GOO
Gorakhpur Airport,GOP
Golmud Airport,GOQ
Gore Airport,GOR
Gothenburg-Landvetter Airport,GOT
Garoua International Airport,GOU
Gove Airport,GOV
Gorna Oryahovitsa Airport,GOZ
Araxos Airport,GPA
Tancredo Thomas de Faria Airport,GPB
Mount Gordon Airport,GPD
Juan Casiano Airport,GPI
Guapiles Airport,GPL
Garden Point Airport,GPN
General Pico Airport,GPO
Seymour Airport,GPS
Gulfport Biloxi International Airport,GPT
Grand Rapids Itasca Co-Gordon Newstrom field,GPZ
Galion Municipal Airport,GQQ
Austin Straubel International Airport,GRB
Grand Cess Airport,GRC
Greenwood County Airport,GRD
Greenville Airport,GRE
Gray Army Air Field,GRF
Gardez Airport,GRG
Garuahi Airport,GRH
Central Nebraska Regional Airport,GRI
George Airport,GRJ
Robert Gray  Army Air Field Airport,GRK
Garasa Airport,GRL
Grand Marais Cook County Airport,GRM
Gordon Municipal Airport,GRN
Girona Airport,GRO
Gurupi Airport,GRP
Eelde Airport,GRQ
Gerald R. Ford International Airport,GRR
Grosseto Air Base,GRS
Gujrat Airport,GRT
Guarulhos - Governador AndrÃ© Franco Montoro International Airport,GRU
Grozny North Airport,GRV
Graciosa Airport,GRW
Federico Garcia Lorca Airport,GRX
GrÃ­msey Airport,GRY
Graz Airport,GRZ
Long Pasia Airport,GSA
Seymour Johnson Air Force Base,GSB
Gascoyne Junction Airport,GSC
Gothenburg City Airport,GSE
Goshen Municipal Airport,GSH
Grand-Santi Airport,GSI
San JosÃ© Airport,GSJ
Taltheilei Narrows Airport,GSL
Qeshm International Airport,GSM
Mount Gunson Airport,GSN
Piedmont Triad International Airport,GSO
Greenville Spartanburg International Airport,GSP
El Oweinat East International Airport,GSQ
Gardo Airport,GSR
Sabi Sabi Airport,GSS
Gustavus Airport,GST
Azaza Airport,GSU
Greater Southwest International Airport-Amon Carter Field,GSW
Binbrook Airfield,GSY
Gatokae Airport,GTA
Genting Airport,GTB
Groote Eylandt Airport,GTE
Great Falls International Airport,GTF
Grantsburg Municipal Airport,GTG
Flugplatz GÃ¼ttin / RÃ¼gen,GTI
Sungei Tekai Airport,GTK
Glentanner Airport,GTN
Jalaluddin Airport,GTO
Grants Pass Airport,GTP
Golden Triangle Regional Airport,GTR
Granite Downs Airport,GTS
Georgetown Airport,GTT
HoleÅ¡ov Airport,GTW
Gettysburg Regional Airport,GTY
Kirawira B Aerodrome,GTZ
La Aurora Airport,GUA
Guerrero Negro Airport,GUB
Gunnison Crested Butte Regional Airport,GUC
Goundam Airport,GUD
Guriaso (Keraso) Airport,GUE
Jack Edwards Airport,GUF
Guari Airport,GUG
Gunnedah Airport,GUH
Guiria Airport,GUI
GuaratinguetÃ¡ Airport,GUJ
Goulburn Airport,GUL
Antonio B. Won Pat International Airport,GUM
Jicalapa Airport,GUO
Gallup Municipal Airport,GUP
Guanare Airport,GUQ
Gurney Airport,GUR
Grissom Air Reserve Base,GUS
GÃ¼tersloh Air Base,GUT
GrundarfjÃ¶rÃ°ur Airport,GUU
Mougulu Airport,GUV
Atyrau Airport,GUW
Guna Airport,GUX
Guymon Municipal Airport,GUY
Guarapari Airport,GUZ
Geneva Cointrin International Airport,GVA
Gordonsville Municipal Airport,GVE
Green River Airport,GVI
Lee Gilmer Memorial Airport,GVL
Maygatka Airport.,GVN
Greenvale Airport,GVP
Coronel Altino Machado de Oliveira Airport,GVR
Majors Airport,GVT
Richards-Gebaur Air Force Base,GVW
GÃ¤vle Sandviken Airport,GVX
Gwa Airport,GWA
Gwadar International Airport,GWD
Thornhill Air Base,GWE
Gwalior Airport,GWL
Gnarowein Airport,GWN
GreenwoodâLeflore Airport,GWO
Glenwood Springs Municipal Airport,GWS
Westerland Sylt Airport,GWT
Glendale Fokker Field,GWV
Gatow Airport,GWW
Galway Airport,GWY
Sayun International Airport,GXF
Negage Airport,GXG
Gannan Xiahe Airport,GXH
Teniente Vidal Airport,GXQ
Yagoua Airport,GXX
GreeleyâWeld County Airport,GXY
CapitÃ¡n de Av. Emilio BeltrÃ¡n Airport,GYA
Heydar Aliyev International Airport,GYD
JosÃ© JoaquÃ­n de Olmedo International Airport,GYE
Magan Airport,GYG
Gisenyi Airport,GYI
Argyle Airport,GYL
General JosÃ© MarÃ­a YÃ¡Ã±ez International Airport,GYM
Santa Genoveva Airport,GYN
Gympie Airport,GYP
Phoenix Goodyear Airport,GYR
Guangyuan Airport,GYS
Guyuan Liupanshan Airport,GYU
Gary Chicago International Airport,GYY
Yasser Arafat International Airport,GZA
Ghazni Airport,GZI
Xewkija Heliport,GZM
Nusatupe Airport,GZO
GazipaÅa Airport,GZP
Gaziantep International Airport,GZT
Qazvin Airport,GZW
Hasvik Airport,HAA
Marion County Rankin Fite Airport,HAB
Hachijojima Airport,HAC
Halmstad Airport,HAD
Lava Falls Heliport,HAE
Half Moon Bay Airport,HAF
Prince Said Ibrahim International Airport,HAH
Three Rivers Municipal Dr Haines Airport,HAI
Hannover Airport,HAJ
Haikou Meilan International Airport,HAK
Halali Airport,HAL
Hamburg Airport,HAM
Noi Bai International Airport,HAN
Butler Co Regional Airport - Hogan Field,HAO
Hanimaadhoo Airport,HAQ
Capital City Airport,HAR
Ha'il Airport,HAS
Heathlands Airport,HAT
Haugesund Airport,HAU
JosÃ© MartÃ­ International Airport,HAV
Haverfordwest Airport,HAW
Hatbox Field,HAX
Haycock Airport,HAY
Hatzfeldhaven Airport,HAZ
Hobart International Airport,HBA
Industrial Airpark,HBB
Habi Airport,HBD
Borg El Arab International Airport,HBE
Hattiesburg Bobby L Chain Municipal Airport,HBG
Entrance Island Seaplane Base,HBH
Holbrook Municipal Airport,HBK
Qilian Airport,HBQ
Hobart Regional Airport,HBR
Hambantota Seaplane Base,HBT
Bulgan Sum Airport,HBU
Hubli Airport,HBX
Big Spring Mc Mahon-Wrinkle Airport,HCA
Columbia County Airport,HCC
Hechi Jinchengjiang Airport,HCJ
Eil Airport,HCM
Hengchun Airport,HCN
Halls Creek Airport,HCQ
Holy Cross Airport,HCR
Cheraw Municipal Airport/Lynch Bellinger Field,HCW
Heidelberg Army Helicopter Base,HDB
Hyderabad Airport,HDD
Brewster Field,HDE
Heringsdorf Airport,HDF
Handan Airport,HDG
Dillingham Airfield,HDH
Hamadan Airport,HDM
Yampa Valley Airport,HDN
Havadarya Airport,HDR
Hoedspruit Air Force Base Airport,HDS
